# Species Clustering Database for APOGEE V05
# Format: ClusterNum<TAB>SpeciesA<TAB>SpeciesB<TAB>ClusterName<TAB>Genus
# Total clusters: 489

22	Phytophthora hedraiandra	Phytophthora pseudotsugae	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora hedraiandra	Phytophthora x serendipita	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora idaei	Phytophthora pseudotsugae	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora idaei	Phytophthora x serendipita	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora pseudotsugae	Phytophthora x serendipita	Phytophthora cactorum cluster	Phytophthora
23	Phytophthora alni	Phytophthora attenuata	Phytophthora alni cluster	Phytophthora
23	Phytophthora alni	Phytophthora cambivora	Phytophthora alni cluster	Phytophthora
23	Phytophthora alni	Phytophthora formosa	Phytophthora alni cluster	Phytophthora
23	Phytophthora alni	Phytophthora intricata	Phytophthora alni cluster	Phytophthora
23	Phytophthora alni	Phytophthora uniformis	Phytophthora alni cluster	Phytophthora
23	Phytophthora attenuata	Phytophthora cambivora	Phytophthora alni cluster	Phytophthora
23	Phytophthora attenuata	Phytophthora formosa	Phytophthora alni cluster	Phytophthora
23	Phytophthora attenuata	Phytophthora intricata	Phytophthora alni cluster	Phytophthora
23	Phytophthora attenuata	Phytophthora uniformis	Phytophthora alni cluster	Phytophthora
23	Phytophthora cambivora	Phytophthora formosa	Phytophthora alni cluster	Phytophthora
23	Phytophthora cambivora	Phytophthora intricata	Phytophthora alni cluster	Phytophthora
23	Phytophthora cambivora	Phytophthora uniformis	Phytophthora alni cluster	Phytophthora
23	Phytophthora formosa	Phytophthora intricata	Phytophthora alni cluster	Phytophthora
23	Phytophthora formosa	Phytophthora uniformis	Phytophthora alni cluster	Phytophthora
23	Phytophthora intricata	Phytophthora uniformis	Phytophthora alni cluster	Phytophthora
24	Phytophthora alticola	Phytophthora arenaria	Phytophthora alticola cluster	Phytophthora
24	Phytophthora alticola	Phytophthora boodjera	Phytophthora alticola cluster	Phytophthora
24	Phytophthora arenaria	Phytophthora boodjera	Phytophthora alticola cluster	Phytophthora
25	Phytophthora amaranthi	Phytophthora capsici	Phytophthora amaranthi cluster	Phytophthora
25	Phytophthora amaranthi	Phytophthora gloveri	Phytophthora amaranthi cluster	Phytophthora
25	Phytophthora amaranthi	Phytophthora mexicana	Phytophthora amaranthi cluster	Phytophthora
25	Phytophthora capsici	Phytophthora gloveri	Phytophthora amaranthi cluster	Phytophthora
25	Phytophthora capsici	Phytophthora mexicana	Phytophthora amaranthi cluster	Phytophthora
25	Phytophthora gloveri	Phytophthora mexicana	Phytophthora amaranthi cluster	Phytophthora
26	Phytophthora andina	Phytophthora infestans	Phytophthora andina cluster	Phytophthora
26	Phytophthora andina	Phytophthora ipomoeae	Phytophthora andina cluster	Phytophthora
26	Phytophthora andina	Phytophthora mirabilis	Phytophthora andina cluster	Phytophthora
26	Phytophthora andina	Phytophthora phaseoli	Phytophthora andina cluster	Phytophthora
26	Phytophthora andina	Phytophthora urerae	Phytophthora andina cluster	Phytophthora
26	Phytophthora infestans	Phytophthora ipomoeae	Phytophthora andina cluster	Phytophthora
26	Phytophthora infestans	Phytophthora mirabilis	Phytophthora andina cluster	Phytophthora
26	Phytophthora infestans	Phytophthora phaseoli	Phytophthora andina cluster	Phytophthora
26	Phytophthora infestans	Phytophthora urerae	Phytophthora andina cluster	Phytophthora
26	Phytophthora ipomoeae	Phytophthora mirabilis	Phytophthora andina cluster	Phytophthora
26	Phytophthora ipomoeae	Phytophthora phaseoli	Phytophthora andina cluster	Phytophthora
26	Phytophthora ipomoeae	Phytophthora urerae	Phytophthora andina cluster	Phytophthora
26	Phytophthora mirabilis	Phytophthora phaseoli	Phytophthora andina cluster	Phytophthora
26	Phytophthora mirabilis	Phytophthora urerae	Phytophthora andina cluster	Phytophthora
26	Phytophthora phaseoli	Phytophthora urerae	Phytophthora andina cluster	Phytophthora
27	Phytophthora arecae	Phytophthora heterospora	Phytophthora arecae cluster	Phytophthora
27	Phytophthora arecae	Phytophthora palmivora	Phytophthora arecae cluster	Phytophthora
27	Phytophthora heterospora	Phytophthora palmivora	Phytophthora arecae cluster	Phytophthora
28	Phytophthora asiatica	Phytophthora niederhauseri	Phytophthora asiatica cluster	Phytophthora
28	Phytophthora asiatica	Phytophthora pisi	Phytophthora asiatica cluster	Phytophthora
28	Phytophthora asiatica	Phytophthora sojae	Phytophthora asiatica cluster	Phytophthora
28	Phytophthora niederhauseri	Phytophthora pisi	Phytophthora asiatica cluster	Phytophthora
28	Phytophthora niederhauseri	Phytophthora sojae	Phytophthora asiatica cluster	Phytophthora
28	Phytophthora pisi	Phytophthora sojae	Phytophthora asiatica cluster	Phytophthora
29	Phytophthora aysenensis	Phytophthora mengei	Phytophthora aysenensis cluster	Phytophthora
29	Phytophthora aysenensis	Phytophthora siskiyouensis	Phytophthora aysenensis cluster	Phytophthora
29	Phytophthora mengei	Phytophthora siskiyouensis	Phytophthora aysenensis cluster	Phytophthora
30	Phytophthora balyanboodja	Phytophthora chesapeakensis	Phytophthora balyanboodja cluster	Phytophthora
31	Phytophthora borealis	Phytophthora chlamydospora	Phytophthora borealis cluster	Phytophthora
31	Phytophthora borealis	Phytophthora mississippiae	Phytophthora borealis cluster	Phytophthora
31	Phytophthora borealis	Phytophthora ornamentata	Phytophthora borealis cluster	Phytophthora
31	Phytophthora borealis	Phytophthora x stagnum	Phytophthora borealis cluster	Phytophthora
31	Phytophthora chlamydospora	Phytophthora mississippiae	Phytophthora borealis cluster	Phytophthora
31	Phytophthora chlamydospora	Phytophthora ornamentata	Phytophthora borealis cluster	Phytophthora
31	Phytophthora chlamydospora	Phytophthora x stagnum	Phytophthora borealis cluster	Phytophthora
31	Phytophthora mississippiae	Phytophthora ornamentata	Phytophthora borealis cluster	Phytophthora
31	Phytophthora mississippiae	Phytophthora x stagnum	Phytophthora borealis cluster	Phytophthora
31	Phytophthora ornamentata	Phytophthora x stagnum	Phytophthora borealis cluster	Phytophthora
32	Phytophthora botryosa	Phytophthora citrophthora	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora botryosa	Phytophthora himalsilva	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora botryosa	Phytophthora occultans	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora botryosa	Phytophthora terminalis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora botryosa	Phytophthora x vanyenensis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora citrophthora	Phytophthora himalsilva	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora citrophthora	Phytophthora occultans	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora citrophthora	Phytophthora terminalis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora citrophthora	Phytophthora x vanyenensis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora himalsilva	Phytophthora occultans	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora himalsilva	Phytophthora terminalis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora himalsilva	Phytophthora x vanyenensis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora occultans	Phytophthora terminalis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora occultans	Phytophthora x vanyenensis	Phytophthora botryosa cluster	Phytophthora
32	Phytophthora terminalis	Phytophthora x vanyenensis	Phytophthora botryosa cluster	Phytophthora
33	Phytophthora brassicae	Phytophthora dauci	Phytophthora brassicae cluster	Phytophthora
34	Phytophthora cacuminis	Phytophthora captiosa	Phytophthora cacuminis cluster	Phytophthora
34	Phytophthora cacuminis	Phytophthora fallax	Phytophthora cacuminis cluster	Phytophthora
34	Phytophthora captiosa	Phytophthora fallax	Phytophthora cacuminis cluster	Phytophthora
35	Phytophthora cajani	Phytophthora vignae	Phytophthora cajani cluster	Phytophthora
36	Phytophthora capensis	Phytophthora emzansi	Phytophthora capensis cluster	Phytophthora
37	Phytophthora castanetorum	Phytophthora quercina	Phytophthora castanetorum cluster	Phytophthora
37	Phytophthora castanetorum	Phytophthora versiformis	Phytophthora castanetorum cluster	Phytophthora
37	Phytophthora quercina	Phytophthora versiformis	Phytophthora castanetorum cluster	Phytophthora
38	Phytophthora celebensis	Phytophthora javanensis	Phytophthora celebensis cluster	Phytophthora
38	Phytophthora celebensis	Phytophthora multiglobulosa	Phytophthora celebensis cluster	Phytophthora
38	Phytophthora javanensis	Phytophthora multiglobulosa	Phytophthora celebensis cluster	Phytophthora
39	Phytophthora chilensis	Phytophthora kernoviae	Phytophthora chilensis cluster	Phytophthora
39	Phytophthora chilensis	Phytophthora pseudochilensis	Phytophthora chilensis cluster	Phytophthora
39	Phytophthora chilensis	Phytophthora pseudokernoviae	Phytophthora chilensis cluster	Phytophthora
39	Phytophthora kernoviae	Phytophthora pseudochilensis	Phytophthora chilensis cluster	Phytophthora
39	Phytophthora kernoviae	Phytophthora pseudokernoviae	Phytophthora chilensis cluster	Phytophthora
39	Phytophthora pseudochilensis	Phytophthora pseudokernoviae	Phytophthora chilensis cluster	Phytophthora
40	Phytophthora colocasiae	Phytophthora insulinativitatica	Phytophthora colocasiae cluster	Phytophthora
40	Phytophthora colocasiae	Phytophthora meadii	Phytophthora colocasiae cluster	Phytophthora
40	Phytophthora colocasiae	Phytophthora multibullata	Phytophthora colocasiae cluster	Phytophthora
40	Phytophthora insulinativitatica	Phytophthora meadii	Phytophthora colocasiae cluster	Phytophthora
40	Phytophthora insulinativitatica	Phytophthora multibullata	Phytophthora colocasiae cluster	Phytophthora
40	Phytophthora meadii	Phytophthora multibullata	Phytophthora colocasiae cluster	Phytophthora
41	Phytophthora condilina	Phytophthora humicola	Phytophthora condilina cluster	Phytophthora
41	Phytophthora condilina	Phytophthora inundata	Phytophthora condilina cluster	Phytophthora
41	Phytophthora humicola	Phytophthora inundata	Phytophthora condilina cluster	Phytophthora
42	Phytophthora cooljarloo	Phytophthora kwongonina	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora cooljarloo	Phytophthora oreophila	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora cooljarloo	Phytophthora pseudorosacearum	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora cooljarloo	Phytophthora rosacearum	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora kwongonina	Phytophthora oreophila	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora kwongonina	Phytophthora pseudorosacearum	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora kwongonina	Phytophthora rosacearum	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora oreophila	Phytophthora pseudorosacearum	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora oreophila	Phytophthora rosacearum	Phytophthora cooljarloo cluster	Phytophthora
42	Phytophthora pseudorosacearum	Phytophthora rosacearum	Phytophthora cooljarloo cluster	Phytophthora
43	Phytophthora crassamura	Phytophthora megasperma	Phytophthora crassamura cluster	Phytophthora
